marker_id	gene_id	gene_symbol	cell_or_state	organ_or_context	marker_set	evidence_level	evidence_type	source	source_year	source_url	source_detail	use_note
COR_005	Solyc01g109460	PLT5	cortex	hypocotyl/apical hook	tomato_hook_snRNA	B	tomato snRNA marker	Single-nucleus transcriptomic analysis uncovers regulatory mechanisms of apical hook development and shade avoidance syndrome in tomato	2026	https://academic.oup.com/hr/advance-article/doi/10.1093/hr/uhag044/8489356	Text lists cortex markers in cluster 11	Hypocotyl/hook evidence; useful secondary cortex marker
END_001	Solyc09g010200	SlCASP3	endodermis	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 endodermis marker	Casparian strip marker; high priority for endodermis
END_002	Solyc06g074230	SlCASP1	endodermis	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 endodermis marker	Use with SlCASP2/3
END_003	Solyc10g083250	SlCASP2	endodermis	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 endodermis marker	Use with SlCASP1/3
END_004	Solyc04g077260	SlMYB36-L	endodermis	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 endodermis marker	Endodermal TF support marker
END_005	Solyc07g006750	MYB36	endodermis-like	hypocotyl/apical hook	tomato_hook_snRNA	B	tomato snRNA marker	Single-nucleus transcriptomic analysis uncovers regulatory mechanisms of apical hook development and shade avoidance syndrome in tomato	2026	https://academic.oup.com/hr/advance-article/doi/10.1093/hr/uhag044/8489356	Text lists endodermis-like marker in cluster 9	Secondary marker; hook/hypocotyl context
PER_001	Solyc01g150110	SlPFA1	pericycle	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 pericycle marker	Use with pericycle module
PER_002	Solyc03g096300	SlWOX5	pericycle/QC/root stem-cell-associated	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 pericycle marker	WOX5 also relates to QC; interpret with cluster position
PER_003	Solyc03g031590	SlLAH1	pericycle	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 pericycle marker	Use with SlPFA1/SlSKOR
PER_004	Solyc11g011500	SlSKOR	pericycle	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 pericycle marker	Transport-related; check treatment effects
PHL_001	Solyc06g071480	SlHCA2	phloem/procambium	root; hypocotyl/apical hook	tomato_root_atlas;tomato_hook_snRNA	B	tomato sc/snRNA marker panel	A suberized exodermis is required for tomato drought tolerance; Single-nucleus transcriptomic analysis uncovers regulatory mechanisms of apical hook development and shade avoidance syndrome in tomato	2024;2026	https://www.nature.com/articles/s41477-023-01567-x; https://academic.oup.com/hr/advance-article/doi/10.1093/hr/uhag044/8489356	Root marker dot plot and hook text list HCA2 in phloem/cambium	High-priority phloem/procambium support marker
PHL_002	Solyc12g017370	SlAPL	phloem/procambium	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 phloem/procambium marker	APL is a strong phloem/procambium marker
PHL_003	Solyc09g082370	SlCVP2	phloem/procambium	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 phloem/procambium marker	Use with SlAPL/SlHCA2
PHL_004	Solyc02g031740	SlPL1	phloem/procambium	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 phloem/procambium marker	Use with phloem/procambium module
PHL_005	Solyc03g097610	SWEET11	phloem/cambium	hypocotyl/apical hook	tomato_hook_snRNA	B	tomato snRNA marker	Single-nucleus transcriptomic analysis uncovers regulatory mechanisms of apical hook development and shade avoidance syndrome in tomato	2026	https://academic.oup.com/hr/advance-article/doi/10.1093/hr/uhag044/8489356	Text lists SWEET11 in phloem/cambium cluster	Sugar transporter; can be treatment-responsive
PHL_006	Solyc10g085910	NA	phloem/cambium	hypocotyl/apical hook	tomato_hook_snRNA	B	tomato snRNA marker	Single-nucleus transcriptomic analysis uncovers regulatory mechanisms of apical hook development and shade avoidance syndrome in tomato	2026	https://academic.oup.com/hr/advance-article/doi/10.1093/hr/uhag044/8489356	Text lists Solyc10g085910 as phloem/cambium marker	Source text does not give symbol; verify against ITAG annotation
XYL_001	Solyc05g054590	SlUXS6	xylem	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 xylem marker	Cell-wall/xylem support marker
XYL_002	Solyc02g072240	SlIRX1	xylem	root; hypocotyl/apical hook	tomato_root_atlas;tomato_hook_snRNA	B	tomato sc/snRNA marker panel	A suberized exodermis is required for tomato drought tolerance; Single-nucleus transcriptomic analysis uncovers regulatory mechanisms of apical hook development and shade avoidance syndrome in tomato	2024;2026	https://www.nature.com/articles/s41477-023-01567-x; https://academic.oup.com/hr/advance-article/doi/10.1093/hr/uhag044/8489356	Root marker dot plot and hook text list IRX1 in xylem	High-priority xylem/secondary-wall marker
XYL_003	Solyc09g072820	SlIRX5	xylem	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 xylem marker	Secondary-wall/xylem marker
XYL_004	Solyc04g082710	SlXCP2	xylem	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 xylem marker	Programmed-cell-death/xylem support marker
XYL_005	Solyc02g084350	ANAC076/VND2	xylem	hypocotyl/apical hook	tomato_hook_snRNA	B	tomato snRNA marker	Single-nucleus transcriptomic analysis uncovers regulatory mechanisms of apical hook development and shade avoidance syndrome in tomato	2026	https://academic.oup.com/hr/advance-article/doi/10.1093/hr/uhag044/8489356	Text lists xylem markers in cluster 5	Xylem TF; secondary support marker
XYL_006	Solyc01g107590	gh2/CAD2	xylem	hypocotyl/apical hook	tomato_hook_snRNA	B	tomato snRNA marker	Single-nucleus transcriptomic analysis uncovers regulatory mechanisms of apical hook development and shade avoidance syndrome in tomato	2026	https://academic.oup.com/hr/advance-article/doi/10.1093/hr/uhag044/8489356	Text lists xylem markers in cluster 5	Lignin-associated; can be stress/barrier responsive
XYL_007	Solyc02g024070	ATHB-9/HPV	xylem	hypocotyl/apical hook	tomato_hook_snRNA	B	tomato snRNA marker	Single-nucleus transcriptomic analysis uncovers regulatory mechanisms of apical hook development and shade avoidance syndrome in tomato	2026	https://academic.oup.com/hr/advance-article/doi/10.1093/hr/uhag044/8489356	Text lists xylem markers in cluster 5	Hypocotyl xylem evidence
XYL_008	Solyc03g117870	Os4CL3	xylem	hypocotyl/apical hook	tomato_hook_snRNA	B	tomato snRNA marker	Single-nucleus transcriptomic analysis uncovers regulatory mechanisms of apical hook development and shade avoidance syndrome in tomato	2026	https://academic.oup.com/hr/advance-article/doi/10.1093/hr/uhag044/8489356	Text lists xylem markers in cluster 5	Phenylpropanoid/lignin-related; can be defense-responsive
XYL_009	Solyc09g007900	PAL8	xylem	hypocotyl/apical hook	tomato_hook_snRNA	B	tomato snRNA marker	Single-nucleus transcriptomic analysis uncovers regulatory mechanisms of apical hook development and shade avoidance syndrome in tomato	2026	https://academic.oup.com/hr/advance-article/doi/10.1093/hr/uhag044/8489356	Text lists xylem markers in cluster 5	Phenylpropanoid marker; interpret with stress state
RCQ_001	Solyc05g051380	SlPLT3	root cap/columella/QC	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 root cap/columella/QC marker	Use with root tip/QC module
RCQ_002	Solyc09g007060	SlSGR9	root cap/columella/QC	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 root cap/columella/QC marker	Root-tip support marker
RCQ_003	Solyc02g087920	SlFEZ	root cap/columella/QC	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 root cap/columella/QC marker	Stem-cell niche/root cap marker
RCQ_004	Solyc06g075150	SlARF10A	root cap/columella/QC	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 root cap/columella/QC marker	Auxin-response marker; can overlap with other root-tip states
MER_001	Solyc04g078470	SlCycD3;3	meristematic/proliferating zone	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 meristematic-zone marker	Cell-cycle marker; labels proliferating state, not a cell type by itself
MER_002	Solyc10g078330	SlCycB1;1	meristematic/proliferating zone	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 meristematic-zone marker	Cell-cycle marker; use cautiously in infection data
MER_003	Solyc12g088550	SlCycA3;1	meristematic/proliferating zone	root	tomato_root_atlas	B	tomato scRNA marker panel	A suberized exodermis is required for tomato drought tolerance	2024	https://www.nature.com/articles/s41477-023-01567-x	Extended Data Fig. 4 meristematic-zone marker	Cell-cycle marker; use as state score
MER_004	Solyc11g005090	SlCycA1;1	meristematic/proliferating zone; giant cell	root; nematode gall	tomato_root_atlas;tomato_nematode_snRNA	A	tomato scRNA marker; promoter:GUS validated giant-cell marker	A suberized exodermis is required for tomato drought tolerance; Single-nucleus RNA-sequencing reveals the cellular programs driving nematode-induced giant cell formation in tomato	2024;2025	https://www.nature.com/articles/s41477-023-01567-x; https://academic.oup.com/hr/article/doi/10.1093/hr/uhaf223/8239697	Root meristem marker; also promoter:GUS validated in nematode giant cells	Proliferation/endoreduplication marker; in galls use with giant-cell-specific markers
EPI_001	Solyc10g005330	PDF2	epidermal cell	hypocotyl/apical hook	tomato_hook_snRNA	B	tomato snRNA marker	Single-nucleus transcriptomic analysis uncovers regulatory mechanisms of apical hook development and shade avoidance syndrome in tomato	2026	https://academic.oup.com/hr/advance-article/doi/10.1093/hr/uhag044/8489356	Text lists epidermal markers in clusters 2/6	Hypocotyl epidermis marker; not root hair-specific
EPI_002	Solyc10g005100	MDP25	epidermal cell	hypocotyl/apical hook	tomato_hook_snRNA	B	tomato snRNA marker	Single-nucleus transcriptomic analysis uncovers regulatory mechanisms of apical hook development and shade avoidance syndrome in tomato	2026	https://academic.oup.com/hr/advance-article/doi/10.1093/hr/uhag044/8489356	Text lists epidermal markers in clusters 2/6	Hypocotyl epidermis support marker
EPI_003	Solyc12g089380	EXPA18	epidermal cell	hypocotyl/apical hook	tomato_hook_snRNA	B	tomato snRNA marker	Single-nucleus transcriptomic analysis uncovers regulatory mechanisms of apical hook development and shade avoidance syndrome in tomato	2026	https://academic.oup.com/hr/advance-article/doi/10.1093/hr/uhag044/8489356	Text lists epidermal markers in clusters 2/6	Expansion/cell-wall marker; can be developmental-state sensitive
EPI_004	Solyc07g014690	HKT1;1	epidermal cell	hypocotyl/apical hook	tomato_hook_snRNA	B	tomato snRNA marker	Single-nucleus transcriptomic analysis uncovers regulatory mechanisms of apical hook development and shade avoidance syndrome in tomato	2026	https://academic.oup.com/hr/advance-article/doi/10.1093/hr/uhag044/8489356	Text lists epidermal markers in clusters 2/6	Transporter; check salt/nutrient treatment effects
EPI_005	Solyc03g121660	IDD7	epidermal cell	hypocotyl/apical hook	tomato_hook_snRNA	B	tomato snRNA marker	Single-nucleus transcriptomic analysis uncovers regulatory mechanisms of apical hook development and shade avoidance syndrome in tomato	2026	https://academic.oup.com/hr/advance-article/doi/10.1093/hr/uhag044/8489356	Text lists epidermal markers in clusters 2/6	Hypocotyl epidermis support marker
LEAF_001	NA	GSTT1	epidermal cell	leaf	tomato_leaf_scRNA	C	tomato leaf scRNA; Arabidopsis-homolog marker	Dissecting the cell-type-specific response of tomato leaves to ToBRFV infection by single-cell RNA-seq	2026	https://pmc.ncbi.nlm.nih.gov/articles/PMC13110166/	Figure 2C representative marker; authors used Arabidopsis homologs for annotation	Symbol-level only; map to exact Solyc ID before scoring
LEAF_002	NA	RBCS3	mesophyll cell	leaf	tomato_leaf_scRNA	C	tomato leaf scRNA; Arabidopsis-homolog marker	Dissecting the cell-type-specific response of tomato leaves to ToBRFV infection by single-cell RNA-seq	2026	https://pmc.ncbi.nlm.nih.gov/articles/PMC13110166/	Figure 2C representative marker	Photosynthesis marker; can shift strongly with infection/light
LEAF_003	NA	CAB3C	mesophyll cell	leaf	tomato_leaf_scRNA	C	tomato leaf scRNA; Arabidopsis-homolog marker	Dissecting the cell-type-specific response of tomato leaves to ToBRFV infection by single-cell RNA-seq	2026	https://pmc.ncbi.nlm.nih.gov/articles/PMC13110166/	Figure 2C representative marker	Photosynthesis marker; use with RBCS3/LHCB6
LEAF_004	NA	LHCB6	mesophyll cell	leaf	tomato_leaf_scRNA	C	tomato leaf scRNA; Arabidopsis-homolog marker	Dissecting the cell-type-specific response of tomato leaves to ToBRFV infection by single-cell RNA-seq	2026	https://pmc.ncbi.nlm.nih.gov/articles/PMC13110166/	Figure 2C representative marker	Photosynthesis marker; treatment-sensitive
LEAF_005	NA	CESA6	xylem cell	leaf	tomato_leaf_scRNA	C	tomato leaf scRNA; Arabidopsis-homolog marker	Dissecting the cell-type-specific response of tomato leaves to ToBRFV infection by single-cell RNA-seq	2026	https://pmc.ncbi.nlm.nih.gov/articles/PMC13110166/	Figure 2C representative marker	Cell-wall marker; confirm with vascular genes
LEAF_006	NA	IRX15	xylem cell	leaf	tomato_leaf_scRNA	C	tomato leaf scRNA; Arabidopsis-homolog marker	Dissecting the cell-type-specific response of tomato leaves to ToBRFV infection by single-cell RNA-seq	2026	https://pmc.ncbi.nlm.nih.gov/articles/PMC13110166/	Figure 2C representative marker	Xylem support marker; symbol-level only
LEAF_007	NA	SUC2	phloem cell	leaf	tomato_leaf_scRNA	C	tomato leaf scRNA; Arabidopsis-homolog marker	Dissecting the cell-type-specific response of tomato leaves to ToBRFV infection by single-cell RNA-seq	2026	https://pmc.ncbi.nlm.nih.gov/articles/PMC13110166/	Figure 2C representative marker	Phloem companion-cell marker; map exact tomato homolog
LEAF_008	NA	PP2-A13	phloem cell	leaf	tomato_leaf_scRNA	C	tomato leaf scRNA; Arabidopsis-homolog marker	Dissecting the cell-type-specific response of tomato leaves to ToBRFV infection by single-cell RNA-seq	2026	https://pmc.ncbi.nlm.nih.gov/articles/PMC13110166/	Figure 2C representative marker	Phloem marker; symbol-level only
LEAF_009	NA	HTR7	meristem/proliferating cell	leaf	tomato_leaf_scRNA	C	tomato leaf scRNA; Arabidopsis-homolog marker	Dissecting the cell-type-specific response of tomato leaves to ToBRFV infection by single-cell RNA-seq	2026	https://pmc.ncbi.nlm.nih.gov/articles/PMC13110166/	Figure 2C representative marker	Proliferation marker; not a mature cell-type marker
LEAF_010	NA	SCL28	meristem/proliferating cell	leaf	tomato_leaf_scRNA	C	tomato leaf scRNA; Arabidopsis-homolog marker	Dissecting the cell-type-specific response of tomato leaves to ToBRFV infection by single-cell RNA-seq	2026	https://pmc.ncbi.nlm.nih.gov/articles/PMC13110166/	Figure 2C representative marker	Use as developmental-state support
LEAF_011	NA	KN	meristem/proliferating cell	leaf	tomato_leaf_scRNA	C	tomato leaf scRNA; Arabidopsis-homolog marker	Dissecting the cell-type-specific response of tomato leaves to ToBRFV infection by single-cell RNA-seq	2026	https://pmc.ncbi.nlm.nih.gov/articles/PMC13110166/	Figure 2C representative marker	Map exact tomato homolog before use
LEAF_012	NA	FAMA	guard cell	leaf	tomato_leaf_scRNA	C	tomato leaf scRNA; Arabidopsis-homolog marker	Dissecting the cell-type-specific response of tomato leaves to ToBRFV infection by single-cell RNA-seq	2026	https://pmc.ncbi.nlm.nih.gov/articles/PMC13110166/	Figure 2C representative marker	Guard-cell fate marker; symbol-level only
LEAF_013	NA	GIS3	trichome cell	leaf	tomato_leaf_scRNA	C	tomato leaf scRNA; Arabidopsis-homolog marker	Dissecting the cell-type-specific response of tomato leaves to ToBRFV infection by single-cell RNA-seq	2026	https://pmc.ncbi.nlm.nih.gov/articles/PMC13110166/	Figure 2C representative marker	Trichome support marker; symbol-level only
LEAF_014	NA	SCR	guard/stomatal lineage or developmental marker	leaf	tomato_leaf_scRNA	C	tomato leaf scRNA; Arabidopsis-homolog marker	Dissecting the cell-type-specific response of tomato leaves to ToBRFV infection by single-cell RNA-seq	2026	https://pmc.ncbi.nlm.nih.gov/articles/PMC13110166/	Figure 2C representative marker	Use cautiously; map exact homolog and inspect co-expression
GC_KNOWN_001	NA	CCS52B	giant cell / nematode feeding site	root gall; Meloidogyne incognita	tomato_nematode_snRNA	B	known giant-cell marker used for annotation	Single-nucleus RNA-sequencing reveals the cellular programs driving nematode-induced giant cell formation in tomato	2025	https://academic.oup.com/hr/article/doi/10.1093/hr/uhaf223/8239697	Text lists 13 previously shown giant cell markers; Figure 1D confirms specific expression	Symbol-level marker; map tomato paralog before gene-id scoring
GC_KNOWN_002	NA	cdc2b	giant cell / nematode feeding site	root gall; Meloidogyne incognita	tomato_nematode_snRNA	B	known giant-cell marker used for annotation	Single-nucleus RNA-sequencing reveals the cellular programs driving nematode-induced giant cell formation in tomato	2025	https://academic.oup.com/hr/article/doi/10.1093/hr/uhaf223/8239697	Text lists 13 previously shown giant cell markers; Figure 1D confirms specific expression	Cell-cycle/endoreduplication marker; use with gall enrichment
GC_KNOWN_003	NA	CycB1;1	giant cell / nematode feeding site	root gall; Meloidogyne incognita	tomato_nematode_snRNA	B	known giant-cell marker used for annotation	Single-nucleus RNA-sequencing reveals the cellular programs driving nematode-induced giant cell formation in tomato	2025	https://academic.oup.com/hr/article/doi/10.1093/hr/uhaf223/8239697	Text lists 13 previously shown giant cell markers; Figure 1D confirms specific expression	Cell-cycle marker; not giant-cell-specific alone
GC_KNOWN_004	NA	CycA2;1	giant cell / nematode feeding site	root gall; Meloidogyne incognita	tomato_nematode_snRNA	B	known giant-cell marker used for annotation	Single-nucleus RNA-sequencing reveals the cellular programs driving nematode-induced giant cell formation in tomato	2025	https://academic.oup.com/hr/article/doi/10.1093/hr/uhaf223/8239697	Text lists 13 previously shown giant cell markers; Figure 1D confirms specific expression	Cell-cycle marker; not giant-cell-specific alone
GC_KNOWN_005	NA	MAP65-3	giant cell / nematode feeding site	root gall; Meloidogyne incognita	tomato_nematode_snRNA	B	known giant-cell marker used for annotation	Single-nucleus RNA-sequencing reveals the cellular programs driving nematode-induced giant cell formation in tomato	2025	https://academic.oup.com/hr/article/doi/10.1093/hr/uhaf223/8239697	Text lists 13 previously shown giant cell markers; Figure 1D confirms specific expression	Cytoskeleton/cell-division marker; use with GC module
GC_KNOWN_006	NA	alpha-tubulin	giant cell / nematode feeding site	root gall; Meloidogyne incognita	tomato_nematode_snRNA	B	known giant-cell marker used for annotation	Single-nucleus RNA-sequencing reveals the cellular programs driving nematode-induced giant cell formation in tomato	2025	https://academic.oup.com/hr/article/doi/10.1093/hr/uhaf223/8239697	Text lists 13 previously shown giant cell markers; Figure 1D confirms specific expression	Cytoskeleton marker; broad proliferating-state signal
GC_KNOWN_007	NA	beta-tubulin	giant cell / nematode feeding site	root gall; Meloidogyne incognita	tomato_nematode_snRNA	B	known giant-cell marker used for annotation	Single-nucleus RNA-sequencing reveals the cellular programs driving nematode-induced giant cell formation in tomato	2025	https://academic.oup.com/hr/article/doi/10.1093/hr/uhaf223/8239697	Text lists 13 previously shown giant cell markers; Figure 1D confirms specific expression	Cytoskeleton marker; broad proliferating-state signal
GC_KNOWN_008	NA	Formin 2B	giant cell / nematode feeding site	root gall; Meloidogyne incognita	tomato_nematode_snRNA	B	known giant-cell marker used for annotation	Single-nucleus RNA-sequencing reveals the cellular programs driving nematode-induced giant cell formation in tomato	2025	https://academic.oup.com/hr/article/doi/10.1093/hr/uhaf223/8239697	Text lists 13 previously shown giant cell markers; Figure 1D confirms specific expression	Actin/cytoskeleton support marker
GC_KNOWN_009	NA	AUX1	giant cell / nematode feeding site	root gall; Meloidogyne incognita	tomato_nematode_snRNA	B	known giant-cell marker used for annotation	Single-nucleus RNA-sequencing reveals the cellular programs driving nematode-induced giant cell formation in tomato	2025	https://academic.oup.com/hr/article/doi/10.1093/hr/uhaf223/8239697	Text lists 13 previously shown giant cell markers; Figure 1D confirms specific expression	Auxin transporter; treatment/state-sensitive
GC_KNOWN_010	Solyc05g008060	SlPIN4	giant cell / nematode feeding site	root gall; Meloidogyne incognita	tomato_nematode_snRNA	B	known giant-cell marker; cluster-specific expression	Single-nucleus RNA-sequencing reveals the cellular programs driving nematode-induced giant cell formation in tomato	2025	https://academic.oup.com/hr/article/doi/10.1093/hr/uhaf223/8239697	Text lists PIN4 as a known GC marker; Supplementary Table 4 annotates Solyc05g008060 as SlPIN4	Auxin transporter; use with GC marker module
GC_KNOWN_011	NA	ENG	giant cell / nematode feeding site	root gall; Meloidogyne incognita	tomato_nematode_snRNA	B	known giant-cell marker used for annotation	Single-nucleus RNA-sequencing reveals the cellular programs driving nematode-induced giant cell formation in tomato	2025	https://academic.oup.com/hr/article/doi/10.1093/hr/uhaf223/8239697	Text lists 13 previously shown giant cell markers; Figure 1D confirms specific expression	Cell-wall remodeling marker; map exact tomato homolog
